authority,station_name,longitude,latitude,time,flood_depth_cm
水利署水文技術組,員林(2),120.56376,23.953472,2025-11-10T13:10:00Z,17.268
水利署水文技術組,金瓜寮橋,121.68912,24.928242,2025-11-10T13:10:00Z,175.01
桃園巿政府水務局(智慧防汛),中山路一段1065巷39號,121.10801,25.028788,2025-11-10T13:05:00Z,0.0
台中市政府水利局,中區三民路與公園路交叉口,120.68187,24.144432,2025-11-10T13:50:00Z,0.0
嘉義縣政府水利處,CYC002 布袋鎮東港里埔仔厝A站,120.19353,23.37097,2025-11-10T13:34:42Z,0.0
水利署水文技術組,彭厝(1),120.53191,22.738918,2025-11-10T13:10:00Z,37.918
嘉義縣政府水利處,嘉義縣-062,120.1559,23.3746,2025-11-10T13:00:48Z,0.0
嘉義縣政府水利處,嘉義縣-062,120.1559,23.3746,2025-11-10T13:00:48Z,0.0
水利署水文技術組,福龍(3),121.03509,24.930342,2025-11-10T13:2. g410:00Z,8.249
第四河川分署,溪湖向上路64淹水監控站,120.4859,23.9682,2025-11-10T13:10:00Z,0.0
水利署水文技術組,東明(2),121.08541,24.97695,2025-11-10T13:40:00Z,26.391
水利署水文技術組,南港溪橋,120.86785,24.656075,2025-11-10T13:10:00Z,0.32
水利署水文技術組,柑園新(1),120.542465,23.821075,2025-11-10T13:10:00Z,36.746
宜蘭縣政府水利資源處,冬山鄉三奇路,121.8153,24.64164,2025-11-10T13:26:00Z,0.0
桃園巿政府水務局(智慧防汛),建興街92巷,121.28774,24.932001,2025-11-10T13:05:00Z,0.0
水利署水文技術組,南雲大橋,120.6634,23.75768,2025-11-10T13:20:00Z,115.63
臺南市政府水利局,安南區-長溪路一段342巷38弄(編號152),120.20726,23.040113,2025-11-10T15:00:03Z,0.0
水利署水文技術組,苗農,120.832634,24.55394,2025-11-10T13:10:00Z,41.332
雲林縣政府水利處,林子里_芳林宮前,120.4819,23.652563,2025-11-10T13:01:02Z,0.0
屏東縣政府水利處,善良宮,120.4571,22.50921,2025-11-10T13:02:00Z,0.0
第一河川分署,HB03,121.7006,24.7491,2025-11-10T13:10:02Z,96.0
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,0.09128368
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,0.0
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,0.0
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,-0.11549206078053
